type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	6.22020540825502E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
10	0	75	70	1.36481924313976E-02
10	0	80	70	1.30620393916834E-02
10	0	85	70	1.26581444941808E-02
10	0	89.9	70	1.25144855224394E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=80) [1/sr]
10	0	0	80	4.48730745721279E-02
10	0	5	80	4.46633271516237E-02
10	0	10	80	4.17545522027132E-02
10	0	15	80	3.70287765538531E-02
10	0	20	80	3.16954368273556E-02
10	0	25	80	0.026747850279295
10	0	30	80	2.27190975415887E-02
10	0	35	80	1.97361117401454E-02
10	0	40	80	1.76862660781922E-02
10	0	45	80	1.63562499563975E-02
10	0	50	80	1.55087244207336E-02
10	0	55	80	1.49201381490804E-02
10	0	60	80	1.44089333220054E-02
10	0	65	80	1.38635500792341E-02
10	0	70	80	1.32585211567865E-02
10	0	75	80	1.26438892681531E-02
10	0	80	80	1.21101964880252E-02
10	0	85	80	1.17480950987591E-02
10	0	89.9	80	1.16201722570002E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=90) [1/sr]
10	0	0	90	4.48730745721279E-02
10	0	5	90	4.34734581429633E-02
10	0	10	90	0.039716141575115
10	0	15	90	3.46630448255086E-02
10	0	20	90	2.94449937549856E-02
10	0	25	90	2.48465862210842E-02
10	0	30	90	2.12100566915024E-02
10	0	35	90	1.85518452736026E-02
10	0	40	90	1.67198512254903E-02
10	0	45	90	0.015502742689884
10	0	50	90	1.46856352651731E-02
10	0	55	90	1.40779542438551E-02
10	0	60	90	1.35346534046572E-02
10	0	65	90	1.29745592849594E-02
10	0	70	90	1.23865656420538E-02
10	0	75	90	1.18158791516879E-02
10	0	80	90	0.011335169127988
10	0	85	90	1.10146926421634E-02
10	0	89.9	90	1.09023626911914E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=100) [1/sr]
10	0	0	100	4.48730745721279E-02
10	0	5	100	4.23259804131487E-02
10	0	10	100	3.78140006419972E-02
10	0	15	100	3.25151245615881E-02
10	0	20	100	0.027445751388535
10	0	25	100	2.31880077694122E-02
10	0	30	100	0.019917000418551
10	0	35	100	0.017556952397608
10	0	40	100	1.59236351228514E-02
10	0	45	100	1.48083466745295E-02
10	0	50	100	1.40172128346717E-02
10	0	55	100	1.33908288579056E-02
10	0	60	100	1.28183184053209E-02
10	0	65	100	0.012246077042791
10	0	70	100	0.011675249291934
10	0	75	100	1.11459655578619E-02
10	0	80	100	1.07144547216664E-02
10	0	85	100	0.010432457108901
10	0	89.9	100	1.03345256598259E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=110) [1/sr]
10	0	0	110	4.48730745721279E-02
10	0	5	110	4.12519532458495E-02
